launch_speed,launch_angle,events,bb_type
100.3,-2,single,ground_ball
65.7,-60,field_out,ground_ball
101.2,-5,field_out,ground_ball
99.7,46,field_out,fly_ball
91.6,-1,single,ground_ball
97.2,22,field_out,line_drive
95.6,10,double_play,line_drive
94.9,-14,field_out,ground_ball
101.5,37,home_run,fly_ball
102,23,double,line_drive
67.7,-18,field_out,ground_ball
77.2,3,grounded_into_double_play,ground_ball
82,30,sac_fly,line_drive
83,26,field_out,line_drive
93.8,-12,field_error,ground_ball
84.1,4,single,ground_ball
82.2,29,field_out,line_drive
69.6,32,field_out,fly_ball
85.2,26,field_out,line_drive
102.8,22,field_out,line_drive
93.5,5,field_out,ground_ball
95.7,-9,single,ground_ball
101.5,-24,field_out,ground_ball
99.1,22,field_out,line_drive
109,-6,single,ground_ball
94.2,0,field_out,ground_ball
72.7,29,single,fly_ball
70.8,-19,field_out,ground_ball
102.1,14,single,line_drive
104.6,0,field_out,ground_ball
96.6,26,double,line_drive
107.4,-2,single,ground_ball
96.4,-7,field_out,ground_ball
73.6,29,single,line_drive
88.8,66,field_out,popup
89.7,14,single,line_drive
70.3,-41,field_out,ground_ball
89.2,-6,field_out,ground_ball
76.3,19,double,line_drive
99.9,39,field_out,fly_ball
98.8,16,home_run,line_drive
102.2,16,field_out,line_drive
97.5,12,field_out,line_drive
52.2,-10,field_out,ground_ball
107.8,24,home_run,line_drive
70.8,17,single,line_drive
74.5,18,single,line_drive
77.1,8,field_out,ground_ball
110.1,5,single,line_drive
62.3,28,single,line_drive
72.8,-26,field_out,ground_ball
64.5,-11,field_out,ground_ball
82.6,-11,field_out,ground_ball
101.1,19,double,line_drive
99.1,40,field_out,fly_ball
105.3,4,grounded_into_double_play,ground_ball
78.4,32,field_out,fly_ball
73.5,-5,grounded_into_double_play,ground_ball
81,65,field_out,popup
98.2,42,triple,fly_ball
89.7,3,force_out,ground_ball
86.9,67,field_out,popup
54,2,field_out,ground_ball
76.4,37,field_out,fly_ball
79.4,21,single,line_drive
103.2,3,single,ground_ball
103.1,-24,field_out,ground_ball
99.3,17,triple,line_drive
100.3,-3,force_out,ground_ball
79.8,4,single,ground_ball
91.9,-6,field_out,ground_ball
63.3,-69,single,ground_ball
92.3,35,field_out,fly_ball
89.1,-17,field_out,ground_ball
87.3,-26,field_out,ground_ball
91.7,12,field_out,line_drive
87.1,54,field_out,fly_ball
107.5,5,single,ground_ball
55.6,85,field_out,popup
92.7,55,field_out,fly_ball
105.4,20,field_out,line_drive
74.8,-40,field_out,ground_ball
101.1,30,home_run,line_drive
106.6,24,home_run,line_drive
60.1,-68,single,ground_ball
71.3,16,single,line_drive
110.4,23,home_run,line_drive
99,17,single,line_drive
87.9,10,field_out,line_drive
102.5,-7,field_out,ground_ball
103,21,double,line_drive
97.3,1,single,ground_ball
83,-1,single,ground_ball
83.4,-25,fielders_choice_out,ground_ball
91.1,77,field_out,popup
92.4,1,field_out,ground_ball
106.1,32,home_run,fly_ball
80,23,single,line_drive
72.8,71,field_out,popup
102,8,field_out,line_drive
93.9,1,single,ground_ball
99.2,18,field_out,line_drive
100.7,3,single,ground_ball
43.7,-46,field_out,ground_ball
97.3,22,triple,line_drive
85.5,-44,field_out,ground_ball
93.9,4,field_out,ground_ball
90.4,-20,field_out,ground_ball
74.1,-15,single,ground_ball
77,38,field_out,fly_ball
85,21,field_out,line_drive
70.4,-47,field_out,ground_ball
88.3,11,single,line_drive
92.8,1,grounded_into_double_play,ground_ball
96.9,18,double,line_drive
62.2,-22,field_out,ground_ball
98.1,5,single,ground_ball
77.4,-3,force_out,ground_ball
95.7,26,double,line_drive
104.8,9,field_out,line_drive
100.8,-10,field_out,ground_ball
79.3,19,single,line_drive
102.6,54,field_out,fly_ball
91.6,26,double,line_drive
98.7,19,field_out,line_drive
67.1,14,single,ground_ball
35.7,-20,field_out,ground_ball
87.6,36,field_out,fly_ball
100.9,39,field_out,fly_ball
86,64,field_out,popup
90.5,33,field_out,fly_ball
74.3,57,field_out,popup
102.6,44,field_out,fly_ball
88.6,17,single,line_drive
80.9,35,field_out,fly_ball
96.7,14,single,line_drive
84.5,-4,field_out,ground_ball
86.5,-41,field_out,ground_ball
102.2,4,single,ground_ball
82.8,-18,field_out,ground_ball
98.2,23,field_out,line_drive
99.4,-6,field_out,ground_ball
99.9,22,field_out,line_drive
111.1,-24,grounded_into_double_play,ground_ball
98.7,49,field_out,fly_ball
106.6,29,home_run,line_drive
92.9,-2,grounded_into_double_play,ground_ball
54.9,-84,field_out,ground_ball
105.6,5,field_out,ground_ball
